Price;Condo;Size;Rooms;Toilets;Suites;Parking;Elevator;Furnished;Swimming Pool;New;District;Latitude;Longitude
750000;1465;152;3;2;1;2;0;0;1;0;Vila Jacuí;-23.499457999999997;-46.449633299999995
570000;604;84;3;2;1;2;0;0;1;0;Jaguaré;-23.541739;-46.753211
450000;680;73;3;2;1;1;1;0;0;0;Socorro;-23.689616;-46.698819
260000;700;46;2;2;1;1;0;0;0;0;Carrão;-23.548712;-46.529097
188000;0;41;2;2;1;1;1;0;0;1;Cursino;-23.652923;-46.614163
540000;380;66;2;2;1;1;1;0;1;0;Butantã;-23.584448000000002;-46.718067
480000;550;63;3;2;1;1;1;1;1;0;Belém;-23.52529;-46.603235
299000;392;51;2;1;0;1;0;0;1;0;Jaçanã;-23.4657025;-46.585427
1070000;610;96;3;2;1;2;0;1;1;0;Belém;-23.5389874;-46.5905787
960000;700;73;2;2;1;1;1;0;1;0;Alto de Pinheiros;-23.556199;-46.679313
235000;300;57;2;1;0;1;0;0;0;0;Capão Redondo;-23.670235100000003;-46.7637197
340000;633;62;3;2;1;1;0;0;1;0;Cursino;-23.6325504;-46.625167100000006
84000;0;49;2;2;1;1;0;1;0;0;Cidade Tiradentes;-23.590926;-46.394633
220000;320;48;2;1;0;1;1;0;1;0;Aricanduva;-23.588465300000003;-46.488335299999996
385000;0;70;3;2;1;1;1;0;1;0;Jaguaré;-23.549098;-46.735965
152500;180;34;1;1;0;0;0;0;0;0;Jaçanã;;
3600000;3149;185;3;4;3;3;1;0;1;0;Itaim Bibi;-23.587027300000003;-46.672798799999995
1349900;1200;133;3;4;3;2;0;1;1;0;Cambuci;-23.567050899999998;-46.6230001
319200;400;60;3;2;1;1;1;1;1;0;Vila Guilherme;-23.509;-46.60555
1285000;2470;165;3;2;1;2;0;0;1;0;Alto de Pinheiros;-23.541848499999997;-46.718977100000004
270000;410;54;2;1;0;1;0;1;0;0;Cangaíba;;
1550000;1600;172;3;5;3;3;0;0;1;0;Mooca;-23.556104;-46.607512
770000;1026;93;3;3;1;2;0;0;1;0;Barra Funda;-23.5301471;-46.653242999999996
550000;0;90;3;2;1;3;1;0;1;0;Mandaqui;-23.479873;-46.640728
222000;280;50;2;1;0;1;0;0;0;0;Cidade Líder;-23.562576899999996;-46.4787683
200000;200;30;1;1;0;0;1;0;0;0;República;-23.545159899999998;-46.643975399999995
535000;0;67;2;2;1;1;1;0;1;0;Cursino;-23.609727;-46.609122
209000;0;40;2;1;0;1;0;0;1;0;Vila Prudente;-23.6061922;-46.552423299999994
215000;360;52;2;2;1;1;0;0;0;0;Jardim São Luis;-23.654954;-46.742633000000005
297000;459;57;2;1;0;1;0;0;1;0;Vila Curuçá;-23.505307600000002;-46.4235888
355000;420;68;3;2;1;1;1;0;1;0;Jaçanã;-23.468023000000002;-46.58871
335000;402;56;2;1;0;1;0;0;0;0;Sapopemba;-23.585587699999998;-46.5335455
255000;275;54;2;2;1;1;0;0;0;0;Grajaú;-23.752794;-46.703041999999996
328000;350;40;1;2;1;1;1;0;1;0;Bela Vista;-23.551871;-46.639719
470000;0;78;2;2;1;1;1;1;1;0;Vila Guilherme;-23.502384;-46.593668
175000;180;39;2;2;1;1;0;0;0;0;Sé;-23.545935999999998;-46.617923
243999;300;57;2;2;1;1;0;0;1;0;Itaquera;-23.5293209;-46.455579
310000;0;50;2;2;1;2;0;0;1;0;Mandaqui;-23.476103;-46.625392
320000;410;95;3;1;0;2;0;0;0;0;Jaçanã;-23.4597296;-46.584893
810000;1200;120;3;2;1;3;0;0;1;0;Casa Verde;-23.501952;-46.642914000000005
400000;900;111;2;1;0;0;1;0;0;0;Bom Retiro;-23.5297514;-46.634222799999996
219000;0;41;2;2;1;1;1;0;1;0;Cachoeirinha;-23.474516;-46.657117
1400000;2630;96;2;3;2;2;0;1;1;0;Brooklin;-23.6143711;-46.6893436
450000;600;62;2;2;1;1;0;0;0;0;Campo Grande;-23.68727;-46.688981
600000;604;94;2;1;0;0;0;0;0;0;República;;
1060000;0;117;2;3;2;3;0;0;0;0;Vila Formosa;-23.56437;-46.556633000000005
740000;730;96;3;2;1;2;0;0;1;0;Bom Retiro;-23.520708399999997;-46.6484586
265000;315;35;1;1;0;0;0;0;0;0;Bela Vista;-23.5603045;-46.6433549
350000;550;91;4;2;1;1;0;0;0;0;Tatuapé;-23.531648999999998;-46.570282
220000;380;49;2;2;1;1;0;0;0;0;Cidade Líder;-23.566129999999998;-46.475676
1630000;1590;129;4;5;2;2;1;1;1;0;Consolação;-23.558829;-46.664547999999996
345300;0;58;3;2;0;1;1;0;0;1;Mooca;-23.549321;-46.583944
650000;764;48;2;2;1;1;1;0;1;0;Pinheiros;-23.5535493;-46.6746843
2298000;1900;266;4;5;3;4;1;1;1;0;Anhanguera;-23.670116;-46.696669
375000;380;66;3;2;1;1;1;0;1;0;Vila Prudente;-23.58276;-46.557083
224900;400;52;2;2;1;1;1;0;0;0;Parque do Carmo;-23.558216;-46.466784000000004
3800000;4874;420;4;3;2;3;0;0;0;0;Bela Vista;;
490000;550;90;3;2;1;1;1;0;1;0;Casa Verde;-23.500329999999998;-46.669115999999995
265000;350;60;2;2;1;1;1;1;0;0;Medeiros;;
530000;451;61;2;2;1;1;1;0;1;0;Campo Grande;-23.668549;-46.689446999999994
180000;300;38;1;2;1;1;0;0;0;0;Sacomã;-23.612915;-46.597279
720000;880;77;2;2;1;1;0;0;1;0;Alto de Pinheiros;-23.540782999999998;-46.715115000000004
260000;300;52;2;2;1;1;0;0;1;0;São Miguel;-23.505635;-46.423502
1090000;800;145;4;2;3;3;0;0;1;0;Barra Funda;;
299000;450;54;2;2;1;1;0;1;0;0;Vila Matilde;-23.538054000000002;-46.538278999999996
144900;0;37;2;1;0;1;1;0;0;1;Lajeado;-23.563996;-46.426201
929500;680;92;3;3;1;2;1;0;1;0;Vila Mariana;-23.601582;-46.633121
252135;350;47;2;1;0;1;0;0;1;0;Jaçanã;-23.483124899999996;-46.566929200000004
147900;180;41;2;1;0;0;1;0;0;0;Parque do Carmo;;
235000;377;45;2;1;0;1;0;0;0;0;Cidade Ademar;-23.673531699999998;-46.6562016
1500000;1411;70;2;1;0;1;0;1;1;0;Pinheiros;-23.5562827;-46.6755133
340000;1790;48;1;2;1;1;0;1;0;0;Consolação;-23.557152;-46.6583132
85000;110;39;1;1;0;1;0;0;0;0;Cidade Tiradentes;;
529000;580;60;2;2;1;1;1;1;1;0;Vila Formosa;-23.565807;-46.556328
570000;480;70;2;2;1;1;1;0;1;0;Barra Funda;-23.515811;-46.686777
1600000;1342;144;2;3;2;2;0;0;1;0;Moema;-23.6076639;-46.6626801
480000;535;70;3;2;1;1;0;0;0;0;Freguesia do Ó;-23.500999;-46.700853
687000;580;96;3;3;1;2;1;0;1;1;Carrão;-23.540323;-46.551478
1570000;700;186;4;5;2;3;1;0;1;0;Rio Pequeno;-23.555291;-46.737956
486463;0;45;2;2;1;1;0;0;1;0;Consolação;-23.553911;-46.653406
380000;497;71;3;2;1;1;1;0;1;0;Santo Amaro;-23.646626;-46.712887
250000;0;48;2;1;0;1;0;0;1;0;Ermelino Matarazzo;-23.4868405;-46.4698222
1750000;1150;88;2;2;1;2;1;1;1;0;Pinheiros;-23.561899;-46.683211
204000;120;46;2;2;1;1;1;0;0;1;Vila Jacuí;-23.498479999999997;-46.454382
675000;670;90;3;3;1;2;1;0;1;0;Casa Verde;-23.510859;-46.654540000000004
510000;500;64;2;2;1;2;1;1;1;0;Vila Guilherme;-23.502976;-46.610452
560000;0;55;2;2;1;1;1;0;1;0;Vila Mariana;-23.601153;-46.635219
702052;1030;103;3;2;1;2;0;0;1;0;Carrão;-23.550518399999998;-46.53039879999999
630000;900;94;3;2;1;2;0;0;1;0;Casa Verde;-23.509054100000004;-46.6597886
220000;250;46;2;2;1;1;0;0;0;0;Ponte Rasa;-23.506466;-46.493328999999996
425000;780;70;3;2;1;1;1;1;1;0;Saúde;-23.609289999999998;-46.613869
342248;0;60;3;2;1;1;0;0;0;0;Belém;-23.544698;-46.602114
520000;631;81;3;2;1;2;1;0;1;0;Vila Formosa;-23.562245;-46.537118
1200000;2217;121;3;2;1;3;0;0;0;0;Brooklin;-23.610485600000004;-46.6811616
680000;650;76;2;2;1;1;1;0;1;0;Santo Amaro;-23.646542999999998;-46.703921
1300000;1600;139;3;2;1;2;0;0;1;0;Moema;-23.6110257;-46.6612809
600000;800;77;3;3;2;2;0;0;1;0;Vila Guilherme;-23.5047763;-46.6061529
219900;230;51;2;2;1;1;0;0;0;0;Vila Curuçá;-23.516100199999997;-46.4286721
385000;650;60;2;2;1;1;0;0;1;0;Carrão;-23.554116;-46.533314000000004
1370000;1300;136;3;4;3;2;0;0;1;0;Cursino;-23.605092199999998;-46.6185406
1150000;900;105;3;1;0;1;0;0;0;0;República;-23.5442909;-46.6447126
165000;150;46;2;1;0;1;0;0;0;0;Guaianazes;;
320000;350;65;3;2;1;1;0;0;1;0;Jardim São Luis;-23.656399;-46.742777000000004
238000;100;48;2;1;0;1;1;0;0;0;Vila Jacuí;-23.5018558;-46.45638579999999
183900;0;41;2;2;1;1;1;0;0;0;Cambuci;-23.566122;-46.617948
580000;585;34;1;1;0;1;1;0;1;0;Alto de Pinheiros;-23.5547932;-46.696864500000004
500000;690;45;1;2;1;1;0;1;1;0;Saúde;-23.618067;-46.633163
530000;1;65;2;2;1;2;0;0;1;0;Pari;-23.5261793;-46.6092824
169000;150;39;2;1;0;0;1;0;0;1;Brás;-23.6089247;-46.5630944
530000;582;94;3;3;2;1;0;0;1;0;Sapopemba;-23.5949081;-46.525027200000004
799000;1669;124;3;3;2;1;0;0;0;0;Perdizes;-23.538988500000002;-46.6712015
670000;0;78;3;1;0;2;1;0;1;1;Lapa;-23.523391;-46.700613
249500;400;48;1;2;1;1;0;0;1;0;Cambuci;-23.561787399999996;-46.628506099999996
648000;400;75;3;2;1;2;0;0;0;0;Água Rasa;-23.615405499999998;-46.4440102
230000;0;51;2;2;1;1;1;1;1;0;Tremembé;-23.420073000000002;-46.58062
85000;0;40;2;2;1;1;0;0;0;0;Cidade Tiradentes;-23.600123;-46.396429
290000;420;60;3;1;0;1;0;1;0;0;Carrão;-23.5540858;-46.5236624
275000;350;60;3;2;1;1;1;0;1;0;Carrão;-23.555332999999997;-46.524039
139900;100;45;2;1;0;1;0;0;0;0;Guaianazes;;
189000;280;48;2;1;0;1;1;0;0;0;São Mateus;-23.5989484;-46.4635475
1195614;0;110;3;2;1;2;0;0;1;0;Mooca;-23.556404;-46.606369
300000;390;64;3;1;0;1;0;0;0;0;São Lucas;-23.602918;-46.5178217
265000;370;45;2;2;1;1;1;0;1;0;José Bonifácio;-23.558061;-46.440062
450000;750;75;3;2;1;1;1;0;1;0;Anhanguera;-23.660846;-46.686396
170000;0;40;2;2;1;1;1;0;1;0;Itaquera;-23.534905;-46.451723
450000;623;71;3;2;1;2;0;0;0;0;Casa Verde;-23.492279500000002;-46.6470328
350000;554;68;2;1;0;1;0;0;0;0;Jabaquara;-23.659879500000002;-46.639641100000006
560000;600;70;3;2;1;1;1;1;1;0;Bom Retiro;-23.524673;-46.647439
220000;350;48;2;2;1;1;0;0;0;0;Parque do Carmo;-23.566129999999998;-46.475676
438100;0;65;3;2;1;1;0;0;0;0;Belém;-23.535721;-46.595133000000004
1364000;0;136;3;2;1;2;0;1;1;0;Belém;-23.539965;-46.59209
1310000;1600;178;4;4;3;3;0;0;1;0;Mooca;-23.552734;-46.5949995
210000;328;50;2;2;1;1;0;0;1;0;Capão Redondo;-23.522823000000002;-46.514783
190000;104;50;2;1;0;1;0;0;0;0;Vila Jacuí;;
828900;750;115;3;4;3;2;1;0;1;1;Carrão;-23.540323;-46.551478
265000;370;45;2;2;1;1;1;0;1;0;José Bonifácio;-23.563392;-46.445623
260000;320;58;2;1;0;1;0;0;0;0;Cidade Dutra;-23.7340283;-46.6957678
650000;350;52;1;2;1;1;0;0;1;0;Pinheiros;-23.561974600000003;-46.6748447
600000;500;65;2;2;1;1;1;0;1;0;Casa Verde;-23.4961783;-46.645621399999996
318000;480;56;2;2;1;1;1;1;1;0;Limão;-23.500526;-46.682131
640000;520;76;3;2;1;2;0;0;1;0;Cursino;-23.606703500000002;-46.6214615
525000;700;78;3;2;1;2;1;1;1;0;Vila Formosa;-23.555245199999998;-46.5477473
410000;0;58;2;2;1;1;0;0;1;0;Jaraguá;-23.523394;-46.645235
680000;650;81;3;2;1;2;1;1;1;0;Freguesia do Ó;-23.492523000000002;-46.69404
249999;200;50;2;1;0;1;0;0;0;0;Sapopemba;-23.6046829;-46.4707536
1350000;2443;266;4;5;4;4;1;0;1;0;Anhanguera;-23.670116;-46.696669
159000;100;35;2;2;1;1;0;0;0;0;Artur Alvim;-23.537903;-46.489329999999995
565000;0;93;3;2;1;2;0;1;1;0;Mandaqui;-23.47185;-46.630367
450000;500;62;3;1;0;1;0;0;0;0;Pari;-23.5252904;-46.603235600000005
385000;430;64;2;2;1;2;0;1;0;0;São Lucas;-23.5928482;-46.5439367
595000;650;59;2;2;1;1;1;0;1;0;Santa Cecília;-23.538992;-46.647003000000005
595000;526;76;3;2;1;2;0;0;1;0;Água Rasa;-23.5650333;-46.5623732
255000;250;40;1;1;0;1;0;0;1;0;Vila Maria;-23.5218932;-46.5869981
205000;260;43;2;2;1;1;1;0;0;0;Jardim Ângela;-23.613198999999998;-46.52323
530000;684;88;3;2;1;2;0;1;1;0;Água Rasa;-23.5601936;-46.56842279999999
420000;690;78;2;1;0;1;0;1;0;0;Liberdade;-23.5579833;-46.6316358
164000;86;46;2;2;1;1;0;0;0;0;Cidade Tiradentes;-23.608491;-46.398886
740000;1012;72;3;2;1;2;0;0;1;0;Perdizes;-23.538131699999997;-46.6861724
180000;180;42;2;1;0;1;0;0;0;0;Cursino;;
210000;200;34;2;1;0;0;0;0;0;0;Barra Funda;-23.5267896;-46.6516566
280000;380;52;2;2;1;1;1;0;0;0;Cangaíba;-23.508439000000003;-46.530778000000005
660000;780;55;2;2;1;2;0;0;1;0;Moema;-23.612121;-46.666139
250000;0;50;2;2;1;1;0;0;0;0;São Miguel;-23.513231;-46.470894
250000;0;49;2;1;0;1;1;0;1;0;Ermelino Matarazzo;-23.491087;-46.4712856
280000;420;60;3;1;0;1;0;0;1;0;São Mateus;-23.587856100000003;-46.48852539999999
2000000;1100;177;3;2;1;1;1;1;0;0;República;-23.547402899999998;-46.6429158
290000;520;55;2;2;1;1;1;1;0;0;Ermelino Matarazzo;-23.503028;-46.474118
295000;373;54;2;2;1;1;1;0;0;0;Belém;-23.536768;-46.593884
700000;1000;150;4;3;1;2;1;0;1;0;Carrão;-23.550535;-46.530384000000005
369000;398;71;3;2;1;1;1;0;1;0;São Domingos;-23.507245;-46.735663
760000;880;122;3;2;1;2;0;0;0;0;Mandaqui;;
